,1st week,2nd week,3rd week,4th week
0,8.05,7.35,8.4,8.4
1,8.05,7.35,8.75,8.4
2,8.4,7.35,8.75,8.4
3,7.7,7.7,8.75,8.4
4,8.05,7.35,8.75,8.05
5,8.05,7.35,8.75,8.4
6,8.4,7.7,8.75,8.75
7,8.4,7.7,9.1,8.75
8,8.05,7.35,8.75,8.4
9,8.05,7.7,8.75,8.4
10,8.05,7.35,8.4,8.4
11,7.7,7.7,8.4,8.05
12,8.4,7.35,9.1,8.4
13,8.05,7.35,8.4,8.05
14,7.7,7.7,8.75,8.4
15,8.05,7.0,8.75,8.05
16,7.7,7.7,8.05,8.75
17,8.05,7.0,8.75,8.4
18,10.85,8.05,9.45,8.05
19,18.2,14.35,20.3,9.45
20,19.95,19.6,19.95,18.55
21,19.6,19.25,19.95,21.0
22,19.25,19.95,18.55,19.25
23,18.55,19.25,17.85,17.15
24,17.15,17.5,14.7,14.7
25,16.1,16.8,12.25,12.6
26,13.65,17.15,10.5,9.1
27,10.5,17.15,7.0,4.9
28,6.65,16.8,2.8,1.4
29,7.0,17.5,1.05,0.0
30,10.5,16.1,0.0,0.0
31,12.95,14.7,0.0,0.0
32,11.9,15.05,0.0,0.0
33,12.95,12.95,0.0,0.0
34,13.3,13.3,0.0,0.0
35,14.0,12.6,0.0,0.0
36,14.0,12.6,0.0,0.0
37,15.4,12.6,0.0,0.0
38,15.05,16.1,0.0,0.0
39,15.75,10.85,0.0,0.0
40,21.35,15.05,0.0,0.0
41,20.65,14.0,0.0,0.35
42,20.3,15.4,0.0,0.0
43,21.35,12.6,0.0,0.0
44,20.3,7.35,0.0,0.0
45,22.4,14.0,0.0,0.0
46,19.25,16.1,0.0,0.0
47,21.0,16.45,0.0,0.0
48,14.0,12.25,0.0,0.0
49,12.6,6.65,0.0,0.0
50,3.5,7.35,0.0,0.0
51,5.6,10.85,0.0,0.0
52,14.35,10.85,0.0,0.0
53,14.7,7.35,0.0,0.35
54,9.45,5.25,0.0,0.0
55,7.35,7.35,0.0,0.0
56,10.85,10.5,0.0,0.0
57,13.65,17.15,0.0,0.0
58,16.8,22.05,3.15,0.0
59,12.95,24.5,0.7,0.0
60,7.0,19.6,0.0,0.0
61,12.6,15.4,0.0,0.0
62,8.4,18.2,0.0,2.1
63,14.7,17.5,0.0,0.0
64,10.15,16.45,0.0,1.4
65,3.5,17.5,0.0,0.0
66,14.7,13.3,1.4,0.0
67,17.85,14.0,5.25,0.35
68,17.85,12.6,7.0,3.15
69,16.8,16.45,10.15,8.05
70,15.75,15.4,8.05,15.4
71,22.4,14.35,22.05,17.85
72,24.85,16.1,26.25,19.95
73,25.9,17.15,27.3,23.8
74,25.9,22.05,28.0,25.9
75,23.45,22.4,21.7,23.1
76,18.2,17.85,18.9,22.75
77,17.5,16.1,14.7,12.6
78,15.05,8.75,9.45,12.95
79,7.7,9.1,10.15,13.3
80,8.05,9.1,10.5,14.7
81,10.5,10.5,11.2,15.05
82,9.8,10.15,12.25,14.7
83,9.8,10.15,12.25,14.7
84,9.1,8.4,11.55,10.85
85,8.4,9.1,9.8,10.15
86,7.7,8.75,9.8,10.85
87,8.05,9.1,9.8,10.5
88,8.05,8.05,9.1,10.5
89,7.7,8.75,9.8,9.8
90,8.05,8.05,9.45,10.5
91,7.7,8.4,9.45,10.15
92,7.7,8.4,9.45,10.15
93,7.7,9.1,9.45,9.8
94,8.05,8.75,9.1,10.5
95,7.7,8.05,8.75,9.8
96,8.05,8.4,8.75,10.5
97,7.7,8.4,8.4,9.8
98,8.05,8.4,9.1,10.15
99,7.7,8.4,8.75,10.5
100,7.7,9.1,8.75,10.15
101,8.05,8.75,9.1,10.15
102,7.7,8.4,8.75,10.5
103,8.4,8.75,8.75,10.15
104,7.7,8.05,8.75,10.15
105,8.05,8.4,8.75,9.8
106,8.4,8.05,8.4,10.15
107,8.05,8.75,8.4,9.8
108,8.05,8.75,8.75,10.15
109,8.05,8.75,8.4,9.45
110,8.05,8.05,8.75,11.55
111,8.05,8.05,9.1,10.15
112,14.35,12.6,12.25,16.1
113,17.85,18.55,13.3,21.0
114,19.95,20.3,15.05,21.7
115,19.95,20.3,19.6,21.7
116,19.95,19.95,20.3,21.35
117,20.65,18.55,19.6,19.95
118,20.3,18.9,18.55,17.85
119,19.95,17.15,15.75,17.5
120,19.6,16.1,15.4,15.75
121,19.25,12.6,14.7,13.3
122,17.5,10.15,13.3,9.8
123,15.05,7.35,11.9,10.15
124,15.05,2.45,10.5,8.75
125,14.0,0.0,7.35,4.9
126,8.75,0.0,5.95,3.15
127,8.05,0.0,0.35,0.35
